allocation_id,payment_doc,payment_date,batch_ref,payment_amount,target_doc,target_date,target_lane,target_amount,allocated_amount,residual_after_allocation,allocation_type,evidence_source,confidence,commercially_confirmed,review_required,notes
AL-0001,43239,2026-02-01,STAT:123,17999.24,48190,2025-12-09,LPG,2252.18,2252.18,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0002,43239,2026-02-01,STAT:123,17999.24,48019,2025-11-30,LPG,3360.06,3360.06,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0003,43239,2026-02-01,STAT:123,17999.24,48165,2025-12-08,LPG,3378.27,3378.27,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0004,43239,2026-02-01,STAT:123,17999.24,48523,2025-12-28,LPG,3378.27,3378.27,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0005,43239,2026-02-01,STAT:123,17999.24,48372,2025-12-18,LPG,5630.46,5630.46,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0006,43494,2026-03-01,STAT:124,13960.67,48927,2026-01-21,LPG,0,0,57.5,REVIEW_CYL_REF,ERP_LEDGER,Exception,false,true,"CYL-only ref — no LPG settlement"
AL-0007,43494,2026-03-01,STAT:124,13960.67,48737,2026-01-11,LPG,3378.27,3378.27,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0008,43494,2026-03-01,STAT:124,13960.67,48784,2026-01-13,LPG,2252.18,2252.18,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0009,43494,2026-03-01,STAT:124,13960.67,48906,2026-01-21,LPG,3403.63,3403.63,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0010,43494,2026-03-01,STAT:124,13960.67,48919,2026-01-22,LPG,4869.09,4869.09,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0011,43854,2026-03-31,STAT:125,13773.92,49128,2026-02-05,LPG,3443.48,3443.48,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0012,43854,2026-03-31,STAT:125,13773.92,49166,2026-02-09,LPG,2295.65,2295.65,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0013,43854,2026-03-31,STAT:125,13773.92,49322,2026-02-18,LPG,3443.48,3443.48,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0014,43854,2026-03-31,STAT:125,13773.92,49443,2026-02-25,LPG,4591.31,4591.31,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0015,44231,2026-05-04,STAT:126,15017.78,,,LPG,0,0,15017.78,UNALLOCATED,ERP_LEDGER,Exception,false,true,"No ref_no; open-balance and combination tiers exhausted"
AL-0016,44561,2026-05-31,STAT:127,13014.2,50429,2026-04-29,LPG,3904.26,3904.26,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0017,44561,2026-05-31,STAT:127,13014.2,50234,2026-04-14,LPG,3904.26,3904.26,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
AL-0018,44561,2026-05-31,STAT:127,13014.2,50524,2026-05-05,LPG,5205.68,5205.68,0,OPEN_BALANCE_MATCH,EXPLICIT_ALLOCATION,Confirmed,false,false,""
