event_dn,event_part,doc_ref,doc_date,amount,match_method,confidence,residual,notes
22630,invoice,51132,2026-06-08,132693.19,ERP,PROVEN,0,Event DN#22630 — invoice
22630,credit_note,15039,2026-06-08,67792.50,CN_REFNO,PROVEN,0,Event DN#22630 — CN → 51132
22630,delivery_note,DN#22630,,,OPERATOR,ASSERTED,0,Proof of event
22630,event_net,,,64900.69,COMPUTED,PROVEN,0,Invoice − CN
22630,payment,44974,2026-06-06,40590.60,OPERATOR_BATCH,ASSUMED,0,PC-76-32 SPEEDP — partial toward DN#22630
22630,payment,44975,2026-06-07,24310.09,OPERATOR_BATCH,ASSUMED,0,PC-76-32 TRANSF — completes DN#22630 net
22630,credit_carry,22630→POOL,,39014.91,CARRY,ASSUMED,39014.91,Surplus from PC-76-32 — was proposed for DN#22936; superseded by bank receipt
22508,invoice,51268,2026-06-18,132862.38,ERP,PROVEN,0,Event DN#22508 — invoice
22508,credit_note,15086,2026-06-18,132862.38,CN_REFNO,PROVEN,0,Event DN#22508 — CN → 51268 (full offset)
22508,delivery_note,DN#22508,,,OPERATOR,ASSERTED,0,Proof of event
22508,event_net,,,0.00,COMPUTED,PROVEN,0,Zero-net event — no payment leg required
22936,invoice,51681,2026-07-08,134049.19,ERP,PROVEN,0,Event DN#22936 — invoice
22936,credit_note,15215,2026-07-08,80097.50,CN_REFNO,PROVEN,0,Event DN#22936 — CN → 51681
22936,delivery_note,DN#22936,,,OPERATOR,ASSERTED,0,Proof of event
22936,event_net,,,53951.69,COMPUTED,PROVEN,0,Invoice − CN
22936,payment,EXT-2744666881,2026-07-03,54981.36,OPERATOR_BANK_RECEIPT,ASSERTED,1029.67,External bank ref Lin001 7.3 13991; links order_no 13991
22936,credit_carry,22936→POOL,,1029.67,CARRY,ASSERTED,1029.67,Surplus after DN#22936 net settle
22936,event_status,DN#22936,,53951.69,OPERATOR,ASSERTED,0,Event closed 2026-09-04 — bank receipt confirmed
23974,invoice,52768,2026-08-24,69652.80,ERP,PROVEN,0,Event DN#23974 — invoice
23974,credit_note,15543,2026-08-24,39445.00,CN_REFNO,PROVEN,0,Event DN#23974 — CN → 52768
23974,delivery_note,DN#23974,,,OPERATOR,ASSERTED,0,Proof of event
23974,event_net,,,30207.80,COMPUTED,PROVEN,0,Invoice − CN
23974,payment,EXT-2901239645,2026-08-22,34721.00,OPERATOR_BANK_RECEIPT,ASSERTED,4513.20,External bank ref HAPPY 8.22; not in Supabase
23974,credit_carry,23974→24947,,22729.30,CARRY,ASSERTED,0,Operator allocation on 45961 — bank receipt supports R4513.20 only; R18216.10 gap
23974,event_status,DN#23974,,30207.80,OPERATOR,ASSERTED,0,Event closed 2026-09-04 — bank receipt confirmed
24947,invoice,52924,2026-09-02,74433.70,ERP,PROVEN,0,Event DN#24947 — invoice
24947,credit_note,15592,2026-09-02,69000.00,CN_REFNO,PROVEN,0,Event DN#24947 — CN → 52924
24947,delivery_note,DN#24947,,,OPERATOR,ASSERTED,0,Proof of event
24947,event_net,,,5433.70,COMPUTED,PROVEN,0,Invoice − CN
24947,payment,45961,2026-09-01,28163.00,ERP+OPERATOR,ASSERTED,0,PC-76-35 SPEEDP — payment leg for event
24947,payment_allocation,45961→net,2026-09-01,5433.70,OPERATOR,ASSERTED,0,Settles current event net
24947,payment_allocation,CREDIT-22729.30,2026-08-22,22729.30,CARRY_FROM_23974,ASSERTED,0,Credit from DN#23974 overpayment (operator)
24947,event_status,DN#24947,,5433.70,OPERATOR,ASSERTED,0,Event closed 2026-09-04 — 45961 fully allocated
POOL,payment_unallocated,44482,2026-05-08,75844.50,,ASSUMED,75844.50,44482 fully unallocated — no slices applied
POOL,credit_unallocated,22630→POOL,,39014.91,,ASSUMED,39014.91,PC-76-32 surplus — target event TBD
