line,period,docno,entry,date,invno,cust_ref,order,reference,amount,balance,source_type,batch_id,proforma_doc,notes
1,,,,,,BALANCE B/F:,,,87226.46,87226.46,erp_actual,,,
2,07,00037732,Bank UD,23/07/2024,,TRANSF | STAT:105,,REV FNB APP PAYMENT FROM 00033,10430.79,97657.25,erp_actual,,,
3,01,00007848,Crd Note,27/03/2024,,30762- EMPTY,,TWK AGRI,-23920.0,73737.25,erp_actual,,,
4,01,00008120,Crd Note,18/04/2024,,31404- EMPTY,,TWK AGRI,-16744.0,56993.25,erp_actual,,,
5,02,00008324,Crd Note,06/05/2024,,31907 - EMPTY,,TWK AGRI,-16744.0,40249.25,erp_actual,,,
6,02,00008530,Crd Note,24/05/2024,,32419-EMPTY,,TWK AGRI,-19136.0,21113.25,erp_actual,,,
7,02,00008700,Crd Note,07/06/2024,,DN#8920,,TWK AGRI,-548.49,20564.76,erp_actual,,,
8,02,00008913,Crd Note,20/06/2024,,33277-EMPTY,,TWK AGRI,-25116.0,-4551.24,erp_actual,,,
9,04,00009158,Crd Note,04/07/2024,,EMPTIES,,TWK AGRI,-12075.0,-16626.24,erp_actual,,,
10,04,00009393,Crd Note,04/07/2024,,D/N 9760,,TWK AGRI,-20930.0,-37556.24,erp_actual,,,
11,04,00009426,Crd Note,18/07/2024,,34337-EMPTY,,TWK AGRI,-19734.0,-57290.24,erp_actual,,,
12,06,00009769,Crd Note,08/08/2024,,35091-EMPTY,,TWK AGRI,-22724.0,-80014.24,erp_actual,,,
13,06,00010189,Crd Note,07/09/2024,,36005-EMPTY,,TWK AGRI,-25611.05,-105625.29,erp_actual,,,
14,08,00010617,Crd Note,03/10/2024,,EMPTY 10168,,TWK AGRI,-17100.0,-122725.29,erp_actual,,,
15,08,00010723,Crd Note,10/10/2024,,EMPTY 10168,,TWK AGRI,-19320.0,-142045.29,erp_actual,,,
16,08,00011003,Crd Note,31/10/2024,,EMPTY 11171,,TWK AGRI PTY LTD,-18285.0,-160330.29,erp_actual,,,
17,09,00011320,Crd Note,26/11/2024,,DN#10764,,TWK AGRI PTY LTD,-22425.0,-182755.29,erp_actual,,,
18,09,00011475,Crd Note,13/12/2024,,DN#10831,,TWK AGRI PTY LTD,-15870.0,-198625.29,erp_actual,,,
19,11,00011648,Crd Note,08/01/2025,,DN#11910,,TWK AGRI PTY LTD,-15870.0,-214495.29,erp_actual,,,
20,11,00011743,Crd Note,22/01/2025,,DN#11939,,TWK AGRI PTY LTD,-10350.0,-224845.29,erp_actual,,,
21,11,00011821,Crd Note,05/02/2025,,DN#12753,,TWK AGRI PTY LTD,-13282.5,-238127.79,erp_actual,,,
22,11,00011953,Crd Note,24/02/2025,,DN#12795,,TWK AGRI PTY LTD,-15352.5,-253480.29,erp_actual,,,
23,01,00030762,Invoice,27/03/2024,,DN#8075 SO#8034,00008034,TWK AGRI,15003.94,-238476.35,erp_actual,,,
24,01,00030763,Invoice,27/03/2024,,30762- EMPTY,00008038,TWK AGRI,23920.0,-214556.35,erp_actual,,,
25,01,00031404,Invoice,18/04/2024,,DN#8675 SO#8229,00008229,TWK AGRI,10825.64,-203730.71,erp_actual,,,
26,01,00031405,Invoice,18/04/2024,,31404- EMPTY,,TWK AGRI,17940.0,-185790.71,erp_actual,,,
27,02,00031907,Invoice,06/05/2024,,DN#8907 SO#8339,00008339,TWK AGRI,10677.41,-175113.3,erp_actual,,,
28,02,00031908,Invoice,06/05/2024,,31907 - EMPTY,,TWK AGRI,17940.0,-157173.3,erp_actual,,,
29,02,00032419,Invoice,24/05/2024,,DN#8920,00008448,TWK AGRI,17956.15,-139217.15,erp_actual,,,
30,02,00032425,Invoice,24/05/2024,,32419-EMPTY,,TWK AGRI,28106.0,-111111.15,erp_actual,,,
31,02,00033277,Invoice,20/06/2024,,DN39971,00008602,TWK AGRI,15372.51,-95738.64,erp_actual,,,
32,02,00033278,Invoice,20/06/2024,,33277-EMPTY,,TWK AGRI,26910.0,-68828.64,erp_actual,,,
33,04,00033800,Invoice,04/07/2024,,D/N 9760,,TWK AGRI,8724.99,-60103.65,erp_actual,,,
34,04,00033801,Invoice,04/07/2024,,EMPTIES,,TWK AGRI,12075.0,-48028.65,erp_actual,,,
35,04,00034285,Invoice,04/07/2024,,D/N 9760,,TWK AGRI,20930.0,-27098.65,erp_actual,,,
36,04,00034342,Invoice,18/07/2024,,DN#9592,,TWK AGRI,13613.85,-13484.8,erp_actual,,,
37,04,00034343,Invoice,18/07/2024,,34337-EMPTY,,TWK AGRI,19136.0,5651.2,erp_actual,,,
38,06,00035091,Invoice,08/08/2024,,D/N 11370,00008939,TWK AGRI,11606.17,17257.37,erp_actual,,,
39,06,00035092,Invoice,08/08/2024,,35091-EMPTY,,TWK AGRI,22724.0,39981.37,erp_actual,,,
40,06,00036005,Invoice,06/09/2024,,DN#10943,,TWK AGRI,15401.49,55382.86,erp_actual,,,
41,06,00036006,Invoice,06/09/2024,,36005-EMPTY,,TWK AGRI,23920.0,79302.86,erp_actual,,,
42,08,00036926,Invoice,03/10/2024,,D/N 1068,,TWK AGRI,21036.66,100339.52,erp_actual,,,
43,08,00036927,Invoice,03/10/2024,,EMPTY 10168,,TWK AGRI,19320.0,119659.52,erp_actual,,,
44,08,00037189,Invoice,03/10/2024,,36927 EMPTY,,TWK AGRI,21045.0,140704.52,erp_actual,,,
45,08,00037817,Invoice,31/10/2024,,D/N 11171,,TWK AGRI PTY LTD,20296.12,161000.64,erp_actual,,,
46,08,00037818,Invoice,31/10/2024,,EMPTY 11171,,TWK AGRI PTY LTD,20700.0,181700.64,erp_actual,,,
47,09,00038582,Invoice,26/11/2024,,DN#10764,,TWK AGRI PTY LTD,34840.07,216540.71,erp_actual,,,
48,09,00039022,Invoice,13/12/2024,,DN#10831,,TWK AGRI PTY LTD,20381.05,236921.76,erp_actual,,,
49,11,00039683,Invoice,08/01/2025,,DN#11910,00010170,TWK AGRI PTY LTD,26765.92,263687.68,erp_actual,,,
50,11,00040081,Invoice,22/01/2025,,DN#11939,00010300,TWK AGRI PTY LTD,15608.03,279295.71,erp_actual,,,
51,11,00040459,Invoice,05/02/2025,,DN#12753,00010400,TWK AGRI PTY LTD,22945.95,302241.66,erp_actual,,,
52,11,00040950,Invoice,24/02/2025,,DN#12795,00010570,TWK AGRI PTY LTD,25457.87,327699.53,erp_actual,,,
53,,PROFORMA-DJ-07,Journal,26/03/2024,,,,DISCOUNT ALLOWED,-506.36,327193.17,proforma_journal,BATCH-2024-03-26,PROFORMA-DJ-07,Consolidated settlement discount BATCH-2024-03-26; post date per remittance; link 00029684
54,01,00029684,Payment,27/03/2024,,TRANSF | STAT 100,,TWK AGRI,-73610.18,253582.99,erp_adjusted_payment,BATCH-2024-03-26,,"Adjusted gross -77,692.03 -> cash -73,610.18 per remittance 2024-03-26; ERP orphan R3,575.49 stripped from payment"
55,,PROFORMA-DJ-08,Journal,26/04/2024,,,,DISCOUNT ALLOWED,-375.1,253207.89,proforma_journal,BATCH-2024-04-26,PROFORMA-DJ-08,Consolidated settlement discount BATCH-2024-04-26; post date per remittance; link 00030419
56,02,00030419,Payment,25/04/2024,,TRANSF | STAT 101,,TWK AGRI,-28428.84,224779.05,erp_actual,BATCH-2024-04-26,,
57,,PROFORMA-DJ-09,Journal,27/05/2024,,,,DISCOUNT ALLOWED,-300.54,224478.51,proforma_journal,BATCH-2024-05-27,PROFORMA-DJ-09,Consolidated settlement discount BATCH-2024-05-27; post date per remittance; link 00031365
58,03,00031365,Payment,27/05/2024,,TRANSF | STAT 102,,TWK AGRI,-11721.1,212757.41,erp_actual,BATCH-2024-05-27,,
59,,PROFORMA-DJ-10,Journal,26/06/2024,,,,DISCOUNT ALLOWED,-956.28,211801.13,proforma_journal,BATCH-2024-06-26,PROFORMA-DJ-10,Consolidated settlement discount BATCH-2024-06-26; post date per remittance; link 00031558
60,04,00031558,Payment,26/06/2024,,TRANSF | STAT 103,,TWK AGRI,-37294.98,174506.15,erp_adjusted_payment,BATCH-2024-06-26,,"Adjusted gross -39,057.53 -> cash -37,294.98 per remittance 2024-06-26; ERP orphan R806.27 stripped from payment"
61,,PROFORMA-DJ-11,Journal,26/07/2024,,,,DISCOUNT ALLOWED,-429.16,174076.99,proforma_journal,BATCH-2024-07-26,PROFORMA-DJ-11,Consolidated settlement discount BATCH-2024-07-26; post date per remittance; link 00032332
