batch_id,post_date,journal_type,consolidated_amount,ref_doc_no,ref_discount_amount,evidence_source,review_required,notes
BATCH-2025-01-31,2025-01-31,DISCOUNT_ALLOWED,-112.78,CONSOLIDATED,-112.78,remittance_advice,false,STAT 110; receipt 00036467 cash-only
BATCH-2025-01-31,2025-01-31,DISCOUNT_ALLOWED,-112.78,00039022,509.53,remittance_advice,false,
BATCH-2025-01-31,2025-01-31,DISCOUNT_ALLOWED,-112.78,00011475,-396.75,remittance_advice,false,
BATCH-2025-03-31,2025-03-31,DISCOUNT_ALLOWED,-228.93,CONSOLIDATED,-228.93,remittance_advice,false,STAT 112; receipt 00037770 cash-only
BATCH-2025-03-31,2025-03-31,DISCOUNT_ALLOWED,-228.93,00040081,390.20,remittance_advice,false,
BATCH-2025-03-31,2025-03-31,DISCOUNT_ALLOWED,-228.93,00011648,-396.75,remittance_advice,false,
BATCH-2025-03-31,2025-03-31,DISCOUNT_ALLOWED,-228.93,00011743,-258.75,remittance_advice,false,
BATCH-2025-03-31,2025-03-31,DISCOUNT_ALLOWED,-228.93,00040459,573.65,remittance_advice,false,
BATCH-2025-03-31,2025-03-31,DISCOUNT_ALLOWED,-228.93,00011821,-332.06,remittance_advice,false,
BATCH-2025-03-31,2025-03-31,DISCOUNT_ALLOWED,-228.93,00040950,636.45,remittance_advice,false,
BATCH-2025-03-31,2025-03-31,DISCOUNT_ALLOWED,-228.93,00011953,-383.81,remittance_advice,false,
BATCH-2025-05-31,2025-05-31,DISCOUNT_ALLOWED,-393.99,CONSOLIDATED,-393.99,remittance_advice,false,STAT 114; receipt 00039080 cash-only
BATCH-2025-05-31,2025-05-31,DISCOUNT_ALLOWED,-393.99,00041747,495.94,remittance_advice,false,
BATCH-2025-05-31,2025-05-31,DISCOUNT_ALLOWED,-393.99,00012131,-495.94,remittance_advice,false,Combined CN splits on advice
BATCH-2025-05-31,2025-05-31,DISCOUNT_ALLOWED,-393.99,00042050,503.35,remittance_advice,false,
BATCH-2025-05-31,2025-05-31,DISCOUNT_ALLOWED,-393.99,00012214,-301.88,remittance_advice,false,
BATCH-2025-05-31,2025-05-31,DISCOUNT_ALLOWED,-393.99,00012215,-31.24,remittance_advice,false,
BATCH-2025-05-31,2025-05-31,DISCOUNT_ALLOWED,-393.99,00042468,192.84,remittance_advice,false,
BATCH-2025-05-31,2025-05-31,DISCOUNT_ALLOWED,-393.99,00042470,30.92,remittance_advice,false,
